;;P1;P1H1;P1H2;P2;P2H1;P2H2;P3;P3H1;P3H2;P4;P4H1;P4H2;P5;P5H1;P5H2;P6;P6H1;P6H2;Flop1;Flop2;Flop3;Turn;River;Dealer
;;Alex Foxen;TD;6D;Eli Berg;KS;3H;Nick Petrangelo;AS;KC;Isaac Baron;JH;9D;Maria Ho;AH;QC;Sam Panzica;JC;7H;0;0;0;0;0;1
;;Alex Foxen;AS;QH;Eli Berg;6H;5S;Nick Petrangelo;AC;TH;Isaac Baron;KS;7S;Maria Ho;JS;9S;Sam Panzica;AD;3H;4C;9C;6D;0;0;1
;;Alex Foxen;KC;8H;Eli Berg;AH;TD;Nick Petrangelo;TS;5D;Isaac Baron;QC;JD;Maria Ho;9H;7C;Sam Panzica;QS;JC;KH;AC;8D;KS;8S;1
;;Alex Foxen;KS;TD;Eli Berg;JD;8C;Nick Petrangelo;9S;5D;Isaac Baron;7S;5H;Maria Ho;TH;6S;Sam Panzica;KD;9H;0;0;0;0;0;1
;;Alex Foxen;KC;TC;Eli Berg;QH;7C;Nick Petrangelo;9H;9D;Isaac Baron;TD;7D;Maria Ho;AS;QD;Sam Panzica;6S;5D;0;0;0;0;0;1
;;Alex Foxen;AS;JC;Eli Berg;QC;4H;Nick Petrangelo;6D;2D;Isaac Baron;KH;8S;Maria Ho;AD;9C;Sam Panzica;AC;4D;4S;8C;7S;JH;3S;1
;;Alex Foxen;AD;6C;Eli Berg;KS;4D;Nick Petrangelo;TD;6S;Isaac Baron;0;0;Maria Ho;3H;2D;Sam Panzica;QD;7D;0;0;0;0;0;1
;;Alex Foxen;AD;TD;Eli Berg;AS;8S;Nick Petrangelo;5H;4H;Isaac Baron;0;0;Maria Ho;QC;JC;Sam Panzica;QH;8D;0;0;0;0;0;1
;;Alex Foxen;AD;QH;Eli Berg;7C;4C;Nick Petrangelo;AH;2C;Isaac Baron;0;0;Maria Ho;KC;9S;Sam Panzica;8C;7H;0;0;0;0;0;1
;;Alex Foxen;QC;9H;Eli Berg;JH;6H;Nick Petrangelo;JC;9D;Isaac Baron;0;0;Maria Ho;KD;TC;Sam Panzica;6C;3D;0;0;0;0;0;1
;;Alex Foxen;JD;TC;Eli Berg;JC;5S;Nick Petrangelo;6H;3D;Isaac Baron;0;0;Maria Ho;TS;TD;Sam Panzica;QD;4S;0;0;0;0;0;1
;;Alex Foxen;AC;9H;Eli Berg;AD;5D;Nick Petrangelo;5C;3C;Isaac Baron;0;0;Maria Ho;JH;7C;Sam Panzica;5H;4C;3S;8D;9D;KC;AS;1
;;Alex Foxen;JS;5S;Eli Berg;0;0;Nick Petrangelo;KC;3H;Isaac Baron;0;0;Maria Ho;JC;9S;Sam Panzica;9H;3S;0;0;0;0;0;1
;;Alex Foxen;QC;6D;Eli Berg;0;0;Nick Petrangelo;JC;TH;Isaac Baron;0;0;Maria Ho;KH;KC;Sam Panzica;4S;4C;0;0;0;0;0;1
;;Alex Foxen;KD;4C;Eli Berg;0;0;Nick Petrangelo;AC;2C;Isaac Baron;0;0;Maria Ho;QS;2S;Sam Panzica;8H;7H;TS;7D;JS;4S;5D;1
;;Alex Foxen;8C;3H;Eli Berg;0;0;Nick Petrangelo;QH;6C;Isaac Baron;0;0;Maria Ho;KS;KH;Sam Panzica;TS;8D;0;0;0;0;0;1
;;Alex Foxen;JS;8D;Eli Berg;0;0;Nick Petrangelo;KD;2S;Isaac Baron;0;0;Maria Ho;TH;8H;Sam Panzica;QC;3S;9C;5H;AC;0;0;1
;;Alex Foxen;4H;3D;Eli Berg;0;0;Nick Petrangelo;8C;3C;Isaac Baron;0;0;Maria Ho;KH;QD;Sam Panzica;KC;5S;4D;JH;TS;KS;0;1
;;Alex Foxen;9C;6C;Eli Berg;0;0;Nick Petrangelo;3H;2S;Isaac Baron;0;0;Maria Ho;7D;2D;Sam Panzica;KS;3C;QC;3D;8C;7C;0;1
;;Alex Foxen;AC;6S;Eli Berg;0;0;Nick Petrangelo;9C;5D;Isaac Baron;0;0;Maria Ho;5C;3S;Sam Panzica;KD;QD;JD;2C;7D;0;0;1
;;Alex Foxen;TD;6C;Eli Berg;0;0;Nick Petrangelo;AS;TS;Isaac Baron;0;0;Maria Ho;KD;9S;Sam Panzica;5H;5D;4H;AD;9C;KH;4C;1
;;Alex Foxen;6H;3C;Eli Berg;0;0;Nick Petrangelo;9D;7C;Isaac Baron;0;0;Maria Ho;TD;6S;Sam Panzica;TC;8D;2S;7H;2H;0;0;1
;;Alex Foxen;9C;5S;Eli Berg;0;0;Nick Petrangelo;4H;4D;Isaac Baron;0;0;Maria Ho;3H;3C;Sam Panzica;9S;2D;2S;8D;5D;4S;8H;1
;;Alex Foxen;TD;4H;Eli Berg;0;0;Nick Petrangelo;9C;2C;Isaac Baron;0;0;Maria Ho;KS;QC;Sam Panzica;8C;6D;4D;6S;9H;AH;0;1
;;Alex Foxen;7S;3C;Eli Berg;0;0;Nick Petrangelo;JD;2C;Isaac Baron;0;0;Maria Ho;AD;7D;Sam Panzica;TC;9C;TH;QC;8D;7C;0;1
;;Alex Foxen;9S;7S;Eli Berg;0;0;Nick Petrangelo;JC;5S;Isaac Baron;0;0;Maria Ho;KS;JH;Sam Panzica;3C;2H;8C;4S;8D;8S;0;1
;;Alex Foxen;AD;TH;Eli Berg;0;0;Nick Petrangelo;4C;2C;Isaac Baron;0;0;Maria Ho;KD;QH;Sam Panzica;9H;4H;0;0;0;0;0;2
;;Alex Foxen;AC;7H;Eli Berg;0;0;Nick Petrangelo;KC;JC;Isaac Baron;0;0;Maria Ho;AS;JH;Sam Panzica;6C;2C;0;0;0;0;0;2
;;Alex Foxen;AH;8H;Eli Berg;0;0;Nick Petrangelo;KC;5C;Isaac Baron;0;0;Maria Ho;QC;3D;Sam Panzica;AC;4D;0;0;0;0;0;2
;;Alex Foxen;KD;4D;Eli Berg;0;0;Nick Petrangelo;7S;4H;Isaac Baron;0;0;Maria Ho;AS;QS;Sam Panzica;KC;4S;3C;9D;7D;3D;0;2
;;Alex Foxen;KD;6C;Eli Berg;0;0;Nick Petrangelo;6D;4D;Isaac Baron;0;0;Maria Ho;8D;7C;Sam Panzica;JD;JC;5D;AD;TD;4S;3C;2
;;Alex Foxen;4C;3H;Eli Berg;0;0;Nick Petrangelo;KH;3C;Isaac Baron;0;0;Maria Ho;JD;3D;Sam Panzica;0;0;QC;KD;6S;0;0;2
;;Alex Foxen;0;0;Eli Berg;0;0;Nick Petrangelo;4H;2D;Isaac Baron;0;0;Maria Ho;3S;2S;Sam Panzica;0;0;0;0;0;0;0;2
;;Alex Foxen;JH;8C;Eli Berg;0;0;Nick Petrangelo;9H;5C;Isaac Baron;0;0;Maria Ho;QH;JC;Sam Panzica;0;0;JS;5S;6H;3D;7S;2
;;Alex Foxen;QD;2H;Eli Berg;0;0;Nick Petrangelo;AH;TC;Isaac Baron;0;0;Maria Ho;4H;3C;Sam Panzica;0;0;0;0;0;0;0;2
;;Alex Foxen;8H;7H;Eli Berg;0;0;Nick Petrangelo;8S;6S;Isaac Baron;0;0;Maria Ho;JD;3C;Sam Panzica;0;0;KH;TC;5S;5H;0;2
;;Alex Foxen;8H;2D;Eli Berg;0;0;Nick Petrangelo;KS;8D;Isaac Baron;0;0;Maria Ho;TH;TD;Sam Panzica;0;0;0;0;0;0;0;2
;;Alex Foxen;JC;9D;Eli Berg;0;0;Nick Petrangelo;5H;3C;Isaac Baron;0;0;Maria Ho;TC;9C;Sam Panzica;0;0;6H;KS;KD;0;0;2
;;Alex Foxen;AC;8D;Eli Berg;0;0;Nick Petrangelo;TS;5S;Isaac Baron;0;0;Maria Ho;9D;7S;Sam Panzica;0;0;0;0;0;0;0;2
;;Alex Foxen;QD;2S;Eli Berg;0;0;Nick Petrangelo;9C;8C;Isaac Baron;0;0;Maria Ho;8D;7S;Sam Panzica;0;0;TH;3H;3D;0;0;2
;;Alex Foxen;5H;2D;Eli Berg;0;0;Nick Petrangelo;JH;3S;Isaac Baron;0;0;Maria Ho;9H;6D;Sam Panzica;0;0;0;0;0;0;0;2
;;Alex Foxen;JS;2C;Eli Berg;0;0;Nick Petrangelo;AC;8S;Isaac Baron;0;0;Maria Ho;AD;2H;Sam Panzica;0;0;0;0;0;0;0;2
;;Alex Foxen;AD;7C;Eli Berg;0;0;Nick Petrangelo;QS;6S;Isaac Baron;0;0;Maria Ho;TS;2D;Sam Panzica;0;0;0;0;0;0;0;2
;;Alex Foxen;AD;JH;Eli Berg;0;0;Nick Petrangelo;JC;8H;Isaac Baron;0;0;Maria Ho;QH;5C;Sam Panzica;0;0;0;0;0;0;0;2
;;Alex Foxen;6C;2H;Eli Berg;0;0;Nick Petrangelo;QS;7C;Isaac Baron;0;0;Maria Ho;TH;7H;Sam Panzica;0;0;TH;KH;4H;JD;0;2
;;Alex Foxen;9H;9C;Eli Berg;0;0;Nick Petrangelo;KC;6D;Isaac Baron;0;0;Maria Ho;AH;5H;Sam Panzica;0;0;TS;4C;7H;QD;TD;2
;;Alex Foxen;9C;7C;Eli Berg;0;0;Nick Petrangelo;QD;QC;Isaac Baron;0;0;Maria Ho;0;0;Sam Panzica;0;0;JS;AS;8C;8D;0;3
;;Alex Foxen;6D;2D;Eli Berg;0;0;Nick Petrangelo;KS;4C;Isaac Baron;0;0;Maria Ho;0;0;Sam Panzica;0;0;TD;6C;8H;4H;2C;3
;;Laura Moreno;9D;6C;Brian Kaufman;7C;3S;Miguel Branas;8C;5H;Juan Gonzalez;9C;2D;Mario Bonata;8H;8D;Kaue de Souza;AC;6H;0;0;0;0;0;0
;;Laura Moreno;JS;4C;Brian Kaufman;TS;6S;Miguel Branas;KS;9H;Juan Gonzalez;KH;KD;Mario Bonata;QH;7D;Kaue de Souza;5D;3C;0;0;0;0;0;0
;;Laura Moreno;AD;QD;Brian Kaufman;6D;5D;Miguel Branas;AH;TD;Juan Gonzalez;QC;4S;Mario Bonata;KH;JS;Kaue de Souza;9S;5H;3D;TH;8C;9C;8S;0
;;Laura Moreno;KC;8D;Brian Kaufman;6C;4D;Miguel Branas;JH;8S;Juan Gonzalez;5S;2S;Mario Bonata;7S;6S;Kaue de Souza;AH;4C;0;0;0;0;0;0
;;Laura Moreno;KH;7C;Brian Kaufman;KD;6S;Miguel Branas;QC;2H;Juan Gonzalez;AC;JD;Mario Bonata;TH;4D;Kaue de Souza;QH;JC;0;0;0;0;0;0
;;Laura Moreno;9S;4S;Brian Kaufman;JS;4H;Miguel Branas;6H;2C;Juan Gonzalez;6D;5C;Mario Bonata;KC;TD;Kaue de Souza;AD;4C;0;0;0;0;0;0
;;Laura Moreno;AD;KD;Brian Kaufman;6S;4S;Miguel Branas;AS;8D;Juan Gonzalez;QD;2H;Mario Bonata;9C;6H;Kaue de Souza;8S;5C;0;0;0;0;0;0
;;Laura Moreno;QH;5H;Brian Kaufman;AC;TS;Miguel Branas;AH;3S;Juan Gonzalez;TC;3C;Mario Bonata;JC;9C;Kaue de Souza;6C;5D;4S;JD;8H;2S;7C;1
;;Laura Moreno;9D;3D;Brian Kaufman;4D;2S;Miguel Branas;JS;5S;Juan Gonzalez;9H;6C;Mario Bonata;8S;8C;Kaue de Souza;KS;TH;4C;3H;QD;AC;TS;1
;;Laura Moreno;AC;TD;Brian Kaufman;QS;5H;Miguel Branas;AH;6C;Juan Gonzalez;JS;4D;Mario Bonata;9S;2D;Kaue de Souza;6D;2H;3C;2C;QH;TC;8D;0
;;Laura Moreno;0;0;Brian Kaufman;TH;6S;Miguel Branas;QH;2D;Juan Gonzalez;TS;TC;Mario Bonata;AD;JC;Kaue de Souza;8D;3C;0;0;0;0;0;0
;;Laura Moreno;0;0;Brian Kaufman;TC;5D;Miguel Branas;8H;4D;Juan Gonzalez;QH;7S;Mario Bonata;JH;3D;Kaue de Souza;4H;3H;QD;JS;JD;9D;0;0
;;Laura Moreno;0;0;Brian Kaufman;AD;TD;Miguel Branas;KD;KC;Juan Gonzalez;7C;3S;Mario Bonata;JS;5D;Kaue de Souza;AS;QD;0;0;0;0;0;0
;;Laura Moreno;0;0;Brian Kaufman;AC;3H;Miguel Branas;5D;3D;Juan Gonzalez;3C;2H;Mario Bonata;KC;9S;Kaue de Souza;9D;5S;AH;2S;2D;QC;6D;1
;;Laura Moreno;0;0;Brian Kaufman;KC;JH;Miguel Branas;TH;5C;Juan Gonzalez;AH;7C;Mario Bonata;TS;4H;Kaue de Souza;AS;8S;JC;KH;2C;2S;4S;1
;;Laura Moreno;0;0;Brian Kaufman;QD;JH;Miguel Branas;6H;5C;Juan Gonzalez;KC;QC;Mario Bonata;AH;3C;Kaue de Souza;TD;6S;TH;3H;5H;4H;QH;1
;;Laura Moreno;0;0;Brian Kaufman;4S;2D;Miguel Branas;AD;3S;Juan Gonzalez;9D;4D;Mario Bonata;4H;4C;Kaue de Souza;AC;7H;TD;9S;8H;JS;JD;1
;;Laura Moreno;0;0;Brian Kaufman;8H;5C;Miguel Branas;9S;9H;Juan Gonzalez;7S;4D;Mario Bonata;AH;JS;Kaue de Souza;AD;KC;6C;6S;TS;KS;KD;0
;;Laura Moreno;0;0;Brian Kaufman;9H;3D;Miguel Branas;KS;JH;Juan Gonzalez;9C;2D;Mario Bonata;;;Kaue de Souza;TD;5S;0;0;0;0;0;0
;;Laura Moreno;0;0;Brian Kaufman;6H;4S;Miguel Branas;JH;6S;Juan Gonzalez;KD;8S;Mario Bonata;0;0;Kaue de Souza;KS;5D;5C;2H;AH;8C;AC;0
